DeliveryDate,HourEnding,AncillaryType,MCPC,DSTFlag,Month
2024-04-05,23:00,REGDN,2.0,N,2024-04
2024-04-05,23:00,REGUP,1.33,N,2024-04
2024-04-05,24:00,REGUP,1.33,N,2024-04
2024-04-05,24:00,NSPIN,0.91,N,2024-04
2024-04-05,24:00,RRS,1.0,N,2024-04
2024-04-05,24:00,ECRS,0.83,N,2024-04
2024-04-05,24:00,REGDN,2.49,N,2024-04
2024-04-06,01:00,ECRS,0.75,N,2024-04
2024-04-06,01:00,REGDN,1.8,N,2024-04
2024-04-06,01:00,NSPIN,0.83,N,2024-04
2024-04-06,01:00,RRS,1.0,N,2024-04
2024-04-06,01:00,REGUP,1.33,N,2024-04
2024-04-06,02:00,ECRS,0.76,N,2024-04
2024-04-06,02:00,NSPIN,0.3,N,2024-04
2024-04-06,02:00,RRS,1.0,N,2024-04
2024-04-06,02:00,REGUP,1.46,N,2024-04
2024-04-06,02:00,REGDN,1.75,N,2024-04
2024-04-06,03:00,REGDN,1.25,N,2024-04
2024-04-06,03:00,REGUP,1.24,N,2024-04
2024-04-06,03:00,ECRS,0.7,N,2024-04
2024-04-06,03:00,NSPIN,0.85,N,2024-04
2024-04-06,03:00,RRS,0.99,N,2024-04
2024-04-06,04:00,REGDN,1.39,N,2024-04
2024-04-06,04:00,REGUP,1.46,N,2024-04
2024-04-06,04:00,NSPIN,0.83,N,2024-04
2024-04-06,04:00,RRS,1.0,N,2024-04
2024-04-06,04:00,ECRS,0.82,N,2024-04
2024-04-06,05:00,RRS,0.99,N,2024-04
2024-04-06,05:00,NSPIN,0.92,N,2024-04
2024-04-06,05:00,ECRS,0.4,N,2024-04
2024-04-06,05:00,REGUP,1.32,N,2024-04
2024-04-06,05:00,REGDN,1.2,N,2024-04
2024-04-06,06:00,NSPIN,0.92,N,2024-04
2024-04-06,06:00,RRS,0.99,N,2024-04
2024-04-06,06:00,REGUP,1.32,N,2024-04
2024-04-06,06:00,REGDN,1.25,N,2024-04
2024-04-06,06:00,ECRS,0.82,N,2024-04
2024-04-06,07:00,NSPIN,1.04,N,2024-04
2024-04-06,07:00,RRS,1.0,N,2024-04
2024-04-06,07:00,REGUP,1.33,N,2024-04
